Image_PathName_RawImage,Image_FileName_RawImage,Metadata_Date,Metadata_Plate,Metadata_Researcher,Metadata_Well,Image_PathName_WellMask,Image_FileName_WellMask
,20210521-p01-KJG_A01.TIF,20210521,p01,KJG,A01,,well_mask.png
,20210521-p01-KJG_A02.TIF,20210521,p01,KJG,A02,,
,20210521-p01-KJG_A03.TIF,20210521,p01,KJG,A03,,
,20210521-p01-KJG_A04.TIF,20210521,p01,KJG,A04,,
,20210521-p01-KJG_A05.TIF,20210521,p01,KJG,A05,,
,20210521-p01-KJG_A06.TIF,20210521,p01,KJG,A06,,
,20210521-p01-KJG_A07.TIF,20210521,p01,KJG,A07,,
,20210521-p01-KJG_A08.TIF,20210521,p01,KJG,A08,,
,20210521-p01-KJG_A09.TIF,20210521,p01,KJG,A09,,
,20210521-p01-KJG_A10.TIF,20210521,p01,KJG,A10,,
,20210521-p01-KJG_A11.TIF,20210521,p01,KJG,A11,,
,20210521-p01-KJG_A12.TIF,20210521,p01,KJG,A12,,
,20210521-p01-KJG_B01.TIF,20210521,p01,KJG,B01,,
,20210521-p01-KJG_B02.TIF,20210521,p01,KJG,B02,,
,20210521-p01-KJG_B03.TIF,20210521,p01,KJG,B03,,
,20210521-p01-KJG_B04.TIF,20210521,p01,KJG,B04,,
,20210521-p01-KJG_B05.TIF,20210521,p01,KJG,B05,,
,20210521-p01-KJG_B06.TIF,20210521,p01,KJG,B06,,
,20210521-p01-KJG_B07.TIF,20210521,p01,KJG,B07,,
,20210521-p01-KJG_B08.TIF,20210521,p01,KJG,B08,,
,20210521-p01-KJG_B09.TIF,20210521,p01,KJG,B09,,
,20210521-p01-KJG_B10.TIF,20210521,p01,KJG,B10,,
,20210521-p01-KJG_B11.TIF,20210521,p01,KJG,B11,,
,20210521-p01-KJG_B12.TIF,20210521,p01,KJG,B12,,
,20210521-p01-KJG_C01.TIF,20210521,p01,KJG,C01,,
,20210521-p01-KJG_C02.TIF,20210521,p01,KJG,C02,,
,20210521-p01-KJG_C03.TIF,20210521,p01,KJG,C03,,
,20210521-p01-KJG_C04.TIF,20210521,p01,KJG,C04,,
,20210521-p01-KJG_C05.TIF,20210521,p01,KJG,C05,,
,20210521-p01-KJG_C06.TIF,20210521,p01,KJG,C06,,
,20210521-p01-KJG_C07.TIF,20210521,p01,KJG,C07,,
,20210521-p01-KJG_C08.TIF,20210521,p01,KJG,C08,,
,20210521-p01-KJG_C09.TIF,20210521,p01,KJG,C09,,
,20210521-p01-KJG_C10.TIF,20210521,p01,KJG,C10,,
,20210521-p01-KJG_C11.TIF,20210521,p01,KJG,C11,,
,20210521-p01-KJG_C12.TIF,20210521,p01,KJG,C12,,
